Date,Time,Open,High,Low,Close,Volume
06/02/2019,17:00,1.11679,1.11685,1.11678,1.11678,0
06/09/2019,17:00,1.1322,1.13224,1.13218,1.1322,0
06/16/2019,17:00,1.12089,1.12093,1.12088,1.12088,0
06/23/2019,17:00,1.13695,1.13703,1.13695,1.13697,0
06/30/2019,17:00,1.13595,1.13596,1.13589,1.13596,0
07/07/2019,17:00,1.12215,1.12228,1.12215,1.12227,0
07/14/2019,17:00,1.12703,1.12706,1.12698,1.12698,0
07/21/2019,17:00,1.1215,1.12151,1.1215,1.12151,0
07/28/2019,17:00,1.11246,1.11246,1.11244,1.11245,0
08/04/2019,17:00,1.11042,1.11043,1.11042,1.11043,0
08/11/2019,17:00,1.11978,1.1198,1.11978,1.1198,0
08/18/2019,17:00,1.109,1.10905,1.10899,1.10899,0
08/25/2019,17:00,1.11507,1.11507,1.11503,1.11505,0
09/01/2019,17:00,1.09902,1.09904,1.0988,1.0988,0
09/08/2019,17:00,1.1026,1.1026,1.10259,1.10259,0
09/15/2019,17:00,1.10732,1.10736,1.10726,1.10733,0
09/22/2019,17:00,1.10186,1.10204,1.10169,1.10169,0
09/29/2019,17:00,1.09419,1.0942,1.09408,1.09408,0
10/06/2019,17:00,1.09803,1.09808,1.09798,1.09808,0
10/13/2019,17:00,1.10316,1.10316,1.10316,1.10316,0
10/20/2019,17:00,1.11607,1.11612,1.11605,1.11608,0
10/27/2019,17:00,1.10793,1.10811,1.10793,1.10806,0
11/03/2019,17:00,1.11684,1.11693,1.1168,1.11691,0
11/10/2019,17:00,1.10182,1.10182,1.10176,1.10176,0
11/17/2019,17:00,1.10489,1.10514,1.10489,1.10514,0
11/24/2019,17:00,1.1017,1.10175,1.10164,1.10175,0
12/01/2019,17:00,1.10229,1.10249,1.10226,1.10249,0
12/08/2019,17:00,1.1061,1.1061,1.10543,1.10543,0
12/15/2019,17:00,1.1128,1.1128,1.11275,1.11279,0
12/22/2019,17:00,1.10752,1.1077,1.10704,1.10769,0
12/29/2019,17:00,1.11757,1.11758,1.11712,1.11713,0
01/05/2020,17:00,1.11656,1.11667,1.11656,1.11667,0
01/12/2020,17:00,1.11141,1.11173,1.11141,1.11172,0
01/19/2020,17:00,1.1091,1.1092,1.1091,1.1092,0
