Date,Time,Open,High,Low,Close
07/27/2019,17:00,1.11244,1.11247,1.11244,1.11247
07/28/2019,17:00,1.11246,1.11246,1.11244,1.11245
07/29/2019,17:00,1.11443,1.11446,1.11442,1.11446
07/30/2019,17:00,1.11548,1.11549,1.1154,1.1154
07/31/2019,17:00,1.10749,1.10761,1.10749,1.10758
08/01/2019,17:00,1.10849,1.10851,1.10834,1.10834
08/02/2019,17:00,1.11059,1.11063,1.11057,1.11057
08/03/2019,17:00,1.11059,1.11063,1.11057,1.11057
08/04/2019,17:00,1.11042,1.11043,1.11042,1.11043
08/05/2019,17:00,1.12034,1.12043,1.12033,1.12042
08/06/2019,17:00,1.1198,1.12003,1.11948,1.12003
08/07/2019,17:00,1.11974,1.11994,1.11968,1.11983
08/08/2019,17:00,1.11801,1.11827,1.11794,1.118
08/09/2019,17:00,1.11999,1.11999,1.11969,1.11969
08/10/2019,17:00,1.11999,1.11999,1.11969,1.11969
08/11/2019,17:00,1.11978,1.1198,1.11978,1.1198
08/12/2019,17:00,1.12129,1.12132,1.12127,1.12132
08/13/2019,17:00,1.11708,1.1171,1.11701,1.11707
08/14/2019,17:00,1.1138,1.1138,1.11376,1.11378
08/15/2019,17:00,1.11065,1.11069,1.11035,1.11035
08/16/2019,17:00,1.109,1.10905,1.10899,1.10899
08/17/2019,17:00,1.109,1.10905,1.10899,1.10899
08/18/2019,17:00,1.109,1.10905,1.10899,1.10899
08/19/2019,17:00,1.10773,1.10778,1.10772,1.10773
08/20/2019,17:00,1.10981,1.10995,1.10977,1.10995
08/21/2019,17:00,1.10844,1.10852,1.1084,1.10851
08/22/2019,17:00,1.10798,1.108,1.10786,1.10794
08/23/2019,17:00,1.11365,1.11365,1.1136,1.1136
08/24/2019,17:00,1.11365,1.11365,1.1136,1.1136
08/25/2019,17:00,1.11507,1.11507,1.11503,1.11505
08/26/2019,17:00,1.11004,1.11004,1.11004,1.11004
08/27/2019,17:00,1.10895,1.10902,1.10893,1.10902
08/28/2019,17:00,1.1077,1.10793,1.10768,1.10777
08/29/2019,17:00,1.10563,1.10568,1.10563,1.10567
08/30/2019,17:00,1.09902,1.09904,1.0988,1.0988
08/31/2019,17:00,1.09902,1.09904,1.0988,1.0988
09/01/2019,17:00,1.09902,1.09904,1.0988,1.0988
09/02/2019,17:00,1.09671,1.09683,1.09671,1.09682
09/03/2019,17:00,1.09726,1.09727,1.09726,1.09726
09/04/2019,17:00,1.10348,1.10349,1.10333,1.1034
09/05/2019,17:00,1.1034,1.10342,1.10337,1.10341
09/06/2019,17:00,1.10256,1.1026,1.1025,1.1025
09/07/2019,17:00,1.10256,1.1026,1.1025,1.1025
09/08/2019,17:00,1.1026,1.1026,1.10259,1.10259
09/09/2019,17:00,1.10474,1.10474,1.10463,1.10469
09/10/2019,17:00,1.1043,1.10431,1.10429,1.10431
09/11/2019,17:00,1.10102,1.10102,1.10094,1.10094
09/12/2019,17:00,1.10643,1.10648,1.10627,1.10639
09/13/2019,17:00,1.10714,1.10737,1.10707,1.10707
09/14/2019,17:00,1.10714,1.10737,1.10707,1.10707
09/15/2019,17:00,1.10732,1.10736,1.10726,1.10733
09/16/2019,17:00,1.09984,1.09984,1.09967,1.09968
09/17/2019,17:00,1.10723,1.10725,1.10713,1.1072
09/18/2019,17:00,1.10298,1.10299,1.1028,1.1028
